tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2025-02-01 04:33:41,43,12.14,1.21
2025-02-01 04:33:43,163,26.8,5.8
2025-02-01 04:33:46,132,70.2,18.8
2025-02-01 04:33:46,148,27.7,6.98
2025-02-01 04:33:47,164,10.7,1.84
2025-02-01 04:33:52,79,6.9,1.48
2025-02-01 04:33:56,68,12.44,1.76
2025-02-01 04:33:58,107,70.0,16.3
2025-02-01 04:34:04,4,21.9,4.17
2025-02-01 04:34:09,246,11.0,1.66
2025-02-01 04:34:15,228,51.01,11.93
2025-02-01 04:34:16,90,10.0,1.7
2025-02-01 04:34:16,148,5.8,0.7
2025-02-01 04:34:16,130,6.14,1.0
2025-02-01 04:34:17,114,54.8,13.75
2025-02-01 04:34:17,129,8.79,1.75
2025-02-01 04:34:20,246,5.1,0.7
2025-02-01 04:34:24,114,9.3,0.94
2025-02-01 04:34:26,228,45.72,7.96
2025-02-01 04:34:27,151,21.2,4.31
2025-02-01 04:34:31,68,15.18,1.97
2025-02-01 04:34:33,211,5.8,0.8
2025-02-01 04:34:33,42,6.5,1.0
2025-02-01 04:34:36,80,14.9,2.34
2025-02-01 04:34:38,88,14.9,2.54
2025-02-01 04:34:42,232,12.14,1.19
2025-02-01 04:34:51,90,7.2,1.11
2025-02-01 04:34:52,186,80.0,19.6
2025-02-01 04:34:52,137,5.1,0.57
2025-02-01 04:34:53,14,30.81,4.94
2025-02-01 04:34:55,246,20.35,3.94
2025-02-01 04:34:55,90,15.25,2.87
2025-02-01 04:34:57,144,19.1,3.6
2025-02-01 04:35:00,4,17.0,2.65
2025-02-01 04:35:06,80,22.0,5.66
2025-02-01 04:35:08,82,25.93,4.72
2025-02-01 04:35:19,137,12.1,1.75
2025-02-01 04:35:20,164,31.7,7.07
2025-02-01 04:35:24,144,7.9,1.32
2025-02-01 04:35:27,49,24.7,4.81
2025-02-01 04:35:31,50,12.8,2.32
2025-02-01 04:35:32,228,54.88,11.39
2025-02-01 04:35:33,137,11.4,2.5
2025-02-01 04:35:35,228,29.55,7.2
2025-02-01 04:35:39,106,31.32,8.66
2025-02-01 04:35:39,249,7.2,0.99
2025-02-01 04:35:42,163,12.1,2.4
2025-02-01 04:35:43,68,21.65,4.33
2025-02-01 04:35:50,164,9.83,1.62
2025-02-01 04:35:51,132,70.0,20.7
2025-02-01 04:35:59,249,8.6,1.3
2025-02-01 04:35:59,186,9.3,1.67
2025-02-01 04:36:04,229,19.8,4.14
2025-02-01 04:36:06,114,19.1,3.66
2025-02-01 04:36:07,56,32.5,5.2
2025-02-01 04:36:13,246,16.64,3.08
2025-02-01 04:36:16,256,7.24,1.03
2025-02-01 04:36:19,113,10.76,1.24
2025-02-01 04:36:20,125,10.0,1.35
2025-02-01 04:36:21,79,5.1,0.2
2025-02-01 04:36:23,125,10.0,1.4
2025-02-01 04:36:24,75,10.49,1.8
2025-02-01 04:36:24,114,27.5,5.55
2025-02-01 04:36:25,234,15.55,2.89
2025-02-01 04:36:26,186,7.9,1.2
2025-02-01 04:36:31,114,14.2,1.9
2025-02-01 04:36:43,148,27.5,6.25
2025-02-01 04:36:55,90,14.2,2.5
2025-02-01 04:36:57,228,57.35,10.11
2025-02-01 04:36:58,7,26.79,7.46
2025-02-01 04:36:58,90,11.4,1.82
2025-02-01 04:37:09,79,21.2,4.83
2025-02-01 04:37:19,137,7.9,1.48
2025-02-01 04:37:20,4,17.7,2.94
2025-02-01 04:37:23,148,13.5,2.61
2025-02-01 04:37:24,144,5.8,0.42
2025-02-01 04:37:25,256,30.18,7.19
2025-02-01 04:37:26,90,17.0,2.48
2025-02-01 04:37:32,249,11.52,1.98
2025-02-01 04:37:40,90,58.8,17.91
2025-02-01 04:37:42,137,14.36,2.04
2025-02-01 04:37:44,48,22.81,6.95
2025-02-01 04:37:45,83,5.38,1.29
2025-02-01 04:37:47,164,38.7,9.79
2025-02-01 04:37:50,107,28.03,5.56
2025-02-01 04:38:02,228,44.11,8.4
2025-02-01 04:38:12,224,13.02,2.08
2025-02-01 04:38:13,234,9.3,1.53
2025-02-01 04:38:14,80,24.48,7.26
2025-02-01 04:38:17,228,45.52,7.27
2025-02-01 04:38:24,148,22.09,3.4
2025-02-01 04:38:26,144,21.35,4.31
2025-02-01 04:38:27,79,13.02,2.91
2025-02-01 04:38:29,170,7.2,1.18
2025-02-01 04:38:37,148,13.5,2.54
2025-02-01 04:38:37,148,5.8,0.62
2025-02-01 04:38:42,166,6.5,0.56
2025-02-01 04:38:43,144,16.3,2.88
2025-02-01 04:38:43,144,5.8,0.61
2025-02-01 04:38:45,4,18.4,4.19
2025-02-01 04:38:55,107,14.01,4.67
2025-02-01 04:38:56,48,5.1,0.46
2025-02-01 04:39:03,68,12.07,2.15
2025-02-01 04:39:05,144,11.4,1.7
2025-02-01 04:39:15,168,8.05,0.48
2025-02-01 04:39:20,243,17.83,3.33
2025-02-01 04:39:22,148,12.04,1.42
2025-02-01 04:39:22,229,12.1,2.4
2025-02-01 04:39:25,228,47.46,10.18
2025-02-01 04:39:35,114,11.4,2.12
2025-02-01 04:39:36,249,11.4,1.82
2025-02-01 04:39:41,228,64.61,19.66
2025-02-01 04:39:59,100,27.5,4.88
2025-02-01 04:40:00,129,6.91,1.0
2025-02-01 04:40:04,79,7.9,1.31
2025-02-01 04:40:11,249,28.29,4.82
2025-02-01 04:40:12,228,34.82,6.64
2025-02-01 04:40:19,231,48.59,14.47
2025-02-01 04:40:20,90,28.9,4.06
2025-02-01 04:40:20,170,14.19,3.35
2025-02-01 04:40:23,91,20.01,3.18
2025-02-01 04:40:29,107,10.48,1.46
2025-02-01 04:40:41,113,13.5,2.69
2025-02-01 04:40:43,68,15.6,3.23
2025-02-01 04:40:44,25,30.23,5.7
2025-02-01 04:40:54,34,19.5,3.58
2025-02-01 04:40:59,50,42.16,8.05
2025-02-01 04:41:00,186,11.78,1.83
2025-02-01 04:41:01,249,9.3,1.55
2025-02-01 04:41:01,107,4.4,0.55
2025-02-01 04:41:02,62,21.07,3.61
2025-02-01 04:41:06,114,8.07,1.2
2025-02-01 04:41:06,186,9.3,1.43
2025-02-01 04:41:11,148,42.2,10.21
2025-02-01 04:41:14,211,28.9,4.9
2025-02-01 04:41:15,234,26.4,5.55
2025-02-01 04:41:18,79,13.47,2.02
2025-02-01 04:41:21,198,19.15,2.83
2025-02-01 04:41:21,186,12.8,2.36
2025-02-01 04:41:22,164,15.6,3.4
2025-02-01 04:41:23,7,27.87,9.2
2025-02-01 04:41:27,170,10.98,1.89
2025-02-01 04:41:32,239,20.25,3.52
2025-02-01 04:41:40,233,12.1,2.1
2025-02-01 04:41:42,114,10.27,1.57
2025-02-01 04:41:46,228,46.97,12.19
2025-02-01 04:41:46,17,29.6,6.24
2025-02-01 04:41:50,80,33.93,10.47
2025-02-01 04:41:52,144,10.0,1.45
2025-02-01 04:42:01,90,10.7,1.69
2025-02-01 04:42:01,211,7.16,0.88
2025-02-01 04:42:01,239,19.1,3.2
2025-02-01 04:42:04,239,8.6,1.34
2025-02-01 04:42:14,170,5.8,0.39
2025-02-01 04:42:15,114,17.0,3.0
2025-02-01 04:42:15,256,16.34,4.03
2025-02-01 04:42:18,140,4.4,0.43
2025-02-01 04:42:28,249,7.92,0.72
2025-02-01 04:42:41,220,10.76,1.93
2025-02-01 04:42:45,186,13.5,2.31
2025-02-01 04:42:45,125,12.8,2.13
2025-02-01 04:42:55,125,6.5,0.8
2025-02-01 04:42:57,246,16.3,2.7
2025-02-01 04:43:07,230,3.7,0.11
2025-02-01 04:43:13,17,46.5,13.6
2025-02-01 04:43:16,113,24.0,4.51
2025-02-01 04:43:26,79,34.57,6.9
2025-02-01 04:43:30,144,8.21,0.71
2025-02-01 04:43:33,148,7.55,0.67
2025-02-01 04:43:42,232,35.2,8.82
2025-02-01 04:43:59,225,36.5,9.6
2025-02-01 04:44:00,141,100.7,20.58
2025-02-01 04:44:01,228,56.34,14.31
2025-02-01 04:44:04,148,10.69,1.57
2025-02-01 04:44:05,49,17.2,3.29
2025-02-01 04:44:06,158,8.08,1.1
2025-02-01 04:44:07,7,10.7,1.48
2025-02-01 04:44:08,113,5.1,0.6
2025-02-01 04:44:24,170,14.44,2.05
2025-02-01 04:44:28,186,13.5,1.5
2025-02-01 04:44:32,232,16.58,2.85
2025-02-01 04:44:42,256,53.4,16.93
2025-02-01 04:44:44,90,19.45,2.64
2025-02-01 04:44:47,144,14.9,2.72
2025-02-01 04:44:50,163,10.7,1.85
2025-02-01 04:44:54,137,13.5,1.75
2025-02-01 04:45:00,144,11.4,0.89
2025-02-01 04:45:03,249,6.8,0.46
2025-02-01 04:45:05,198,50.74,13.77
2025-02-01 04:45:06,48,14.9,2.69
2025-02-01 04:45:18,141,10.7,1.72
2025-02-01 04:45:24,83,22.0,5.47
2025-02-01 04:45:25,144,12.8,2.6
2025-02-01 04:45:29,157,23.52,5.81
2025-02-01 04:45:35,186,36.6,10.0
2025-02-01 04:45:37,144,26.1,5.8
2025-02-01 04:45:45,50,9.3,1.62
2025-02-01 04:45:47,68,23.09,4.82
2025-02-01 04:45:49,228,49.75,11.46
2025-02-01 04:45:56,49,38.38,6.7
2025-02-01 04:46:05,170,11.4,1.48
2025-02-01 04:46:07,164,10.32,1.58
2025-02-01 04:46:10,140,34.5,8.76
2025-02-01 04:46:11,144,12.8,1.77
2025-02-01 04:46:13,48,5.8,0.78
2025-02-01 04:46:14,249,13.5,2.51
2025-02-01 04:46:15,148,26.1,5.6
2025-02-01 04:46:15,249,14.9,2.79
2025-02-01 04:46:23,249,9.3,1.54
2025-02-01 04:46:33,162,21.9,4.48
2025-02-01 04:46:34,197,12.06,2.43
2025-02-01 04:46:37,226,85.0,13.25
2025-02-01 04:46:40,226,17.6,3.75
2025-02-01 04:46:41,151,14.65,3.06
2025-02-01 04:46:42,79,40.0,0.02
2025-02-01 04:46:44,145,16.88,4.47
2025-02-01 04:46:47,137,5.1,0.71
2025-02-01 04:46:47,125,14.2,3.2
2025-02-01 04:46:53,228,28.52,2.78
2025-02-01 04:46:58,24,18.4,3.4
2025-02-01 04:47:08,113,30.44,6.36
2025-02-01 04:47:09,163,9.3,1.49
2025-02-01 04:47:12,186,70.0,17.1
2025-02-01 04:47:17,249,7.9,1.09
2025-02-01 04:47:19,79,13.5,2.32
2025-02-01 04:47:23,74,20.5,4.1
2025-02-01 04:47:25,100,7.9,1.18
2025-02-01 04:47:27,142,35.9,8.17
2025-02-01 04:47:30,132,54.1,14.38
2025-02-01 04:47:33,263,21.9,4.64
2025-02-01 04:47:43,17,4.8,0.51
2025-02-01 04:47:45,90,12.8,2.7
2025-02-01 04:47:47,144,9.3,1.18
2025-02-01 04:47:49,148,17.0,3.54
2025-02-01 04:47:50,148,8.6,1.02
