tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2025-02-01 01:28:55,148,7.9,0.8
2025-02-01 01:28:55,144,10.0,1.19
2025-02-01 01:28:56,79,11.38,1.36
2025-02-01 01:28:57,249,11.4,2.0
2025-02-01 01:28:58,249,10.0,1.64
2025-02-01 01:28:59,249,8.6,1.17
2025-02-01 01:29:00,68,9.2,0.79
2025-02-01 01:29:01,249,9.53,0.8
2025-02-01 01:29:01,234,10.7,1.59
2025-02-01 01:29:01,234,16.66,2.85
2025-02-01 01:29:02,237,6.5,0.9
2025-02-01 01:29:02,263,7.2,1.0
2025-02-01 01:29:03,238,7.37,1.33
2025-02-01 01:29:03,48,14.9,3.03
2025-02-01 01:29:04,107,4.8,0.72
2025-02-01 01:29:04,234,13.5,2.5
2025-02-01 01:29:04,107,5.1,0.6
2025-02-01 01:29:04,211,12.06,1.47
2025-02-01 01:29:05,249,12.1,2.07
2025-02-01 01:29:05,246,11.4,1.61
2025-02-01 01:29:06,114,9.3,1.4
2025-02-01 01:29:06,158,12.1,1.89
2025-02-01 01:29:07,234,4.4,0.4
2025-02-01 01:29:07,239,5.1,0.5
2025-02-01 01:29:07,211,15.3,2.28
2025-02-01 01:29:09,211,9.6,0.68
2025-02-01 01:29:09,249,10.0,1.6
2025-02-01 01:29:10,114,8.6,0.64
2025-02-01 01:29:11,90,15.58,2.47
2025-02-01 01:29:11,125,10.7,1.8
2025-02-01 01:29:12,79,11.78,1.3
2025-02-01 01:29:12,249,8.6,1.22
2025-02-01 01:29:13,234,7.2,0.98
2025-02-01 01:29:15,24,12.8,1.64
2025-02-01 01:29:16,209,14.2,2.0
2025-02-01 01:29:16,80,29.57,6.76
2025-02-01 01:29:18,4,11.21,1.0
2025-02-01 01:29:18,211,9.83,0.92
2025-02-01 01:29:19,125,16.3,2.21
2025-02-01 01:29:19,4,15.6,2.25
2025-02-01 01:29:19,170,5.8,0.79
2025-02-01 01:29:19,211,14.9,1.89
2025-02-01 01:29:19,226,11.4,1.67
2025-02-01 01:29:21,148,11.4,1.91
2025-02-01 01:29:21,148,18.4,3.9
2025-02-01 01:29:22,186,19.1,2.9
2025-02-01 01:29:23,144,15.6,2.15
2025-02-01 01:29:24,209,14.2,2.23
2025-02-01 01:29:24,114,11.45,1.11
2025-02-01 01:29:25,249,12.1,1.8
2025-02-01 01:29:25,249,17.03,2.41
2025-02-01 01:29:26,75,23.46,7.13
2025-02-01 01:29:27,211,22.6,4.7
2025-02-01 01:29:29,234,20.5,4.37
2025-02-01 01:29:30,79,13.24,1.69
2025-02-01 01:29:30,113,5.1,0.53
2025-02-01 01:29:31,186,14.2,1.9
2025-02-01 01:29:31,107,12.57,1.22
2025-02-01 01:29:31,107,14.2,2.27
2025-02-01 01:29:33,231,20.5,3.19
