tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2025-02-01 00:00:54,79,5.1,0.68
2025-02-01 00:00:54,161,5.8,0.7
2025-02-01 00:00:54,236,5.1,0.49
2025-02-01 00:00:55,237,8.6,1.1
2025-02-01 00:00:55,236,12.1,2.6
2025-02-01 00:00:56,249,17.7,3.8
2025-02-01 00:00:56,107,7.2,0.94
2025-02-01 00:00:56,79,13.59,1.6
2025-02-01 00:00:56,141,21.2,4.15
2025-02-01 00:00:57,161,5.8,0.4
2025-02-01 00:00:57,186,11.02,1.57
2025-02-01 00:00:57,246,17.49,3.08
2025-02-01 00:00:58,114,11.02,1.47
2025-02-01 00:00:58,113,9.29,1.18
2025-02-01 00:00:59,90,5.8,0.77
2025-02-01 00:00:59,164,9.3,1.23
2025-02-01 00:01:00,249,14.58,2.68
2025-02-01 00:01:00,249,14.78,1.39
2025-02-01 00:01:00,234,24.85,5.54
2025-02-01 00:01:00,158,9.3,1.06
2025-02-01 00:01:00,48,22.12,3.94
2025-02-01 00:01:00,114,32.08,7.18
2025-02-01 00:01:00,211,13.72,2.46
2025-02-01 00:01:01,79,7.9,1.08
2025-02-01 00:01:01,249,12.8,1.69
2025-02-01 00:01:01,229,12.8,2.02
2025-02-01 00:01:02,211,11.82,1.45
2025-02-01 00:01:02,100,29.6,4.02
2025-02-01 00:01:02,255,17.13,5.13
2025-02-01 00:01:03,234,29.74,7.31
2025-02-01 00:01:03,50,22.38,3.56
2025-02-01 00:01:04,234,8.6,1.12
2025-02-01 00:01:04,144,10.7,1.93
2025-02-01 00:01:04,230,23.21,4.25
2025-02-01 00:01:05,90,13.44,2.09
2025-02-01 00:01:06,141,11.36,1.89
2025-02-01 00:01:06,246,20.1,5.8
2025-02-01 00:01:06,48,23.77,6.6
2025-02-01 00:01:06,79,21.5,3.29
2025-02-01 00:01:07,144,22.0,3.44
2025-02-01 00:01:08,148,14.24,2.1
2025-02-01 00:01:09,114,5.8,0.63
2025-02-01 00:01:10,141,24.55,4.2
2025-02-01 00:01:10,90,8.6,1.2
2025-02-01 00:01:11,141,6.5,0.9
2025-02-01 00:01:11,144,25.4,3.66
2025-02-01 00:01:11,238,21.9,4.13
2025-02-01 00:01:12,68,14.94,2.48
2025-02-01 00:01:12,132,17.7,3.95
2025-02-01 00:01:13,68,15.58,2.72
2025-02-01 00:01:13,229,22.49,3.1
2025-02-01 00:01:14,237,5.83,0.5
2025-02-01 00:01:15,249,29.69,8.04
