feature,imp
lag_1h,0.40279947735012367
lag_168h,0.28625525519741246
lag_24h,0.1879145879639609
roll_mean_24h,0.06645359809450034
avg_distance,0.013287797778846765
hour,0.009609766962422066
avg_duration,0.007564817862348808
zone_ohe_32,0.005916296919856256
day,0.005893447586977083
avg_fare,0.004835192451167452
zone_ohe_79,0.0022602429055649854
dow,0.0015773395005869149
zone_ohe_31,0.0012293611511340096
zone_ohe_25,0.0006762840579215459
zone_ohe_12,0.0005721812228435929
